"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1781212435741053432","Fri Apr 19 22:45:33 +0000 2024","0","@sakulsfm Dulu juga marah &amp; ngak ngelirik le sserafim apaan sih bisa2'y gfriend di disband Awal'y dari satu member fyp di tiktok &amp; amaze waktu cover run bts keren gitu dance'y ternyata eunchae ya udah jadi cari tau dan ngikutin banget semua ini bukan salah ssera tapi salahin aja agensi'y","1781454114913919210","","","in","","0","0","0","https://x.com/NunukKusuma5/status/1781454114913919210","1145573715666558977","NunukKusuma5"
"1781453555393560818","Fri Apr 19 22:43:20 +0000 2024","1","aprovecho a dar una listita de mis grupos ult y mis bias - skz (priority) Hyunjin - le sserafim Chaewon - p1harmony Intak - kiss of life (Main) Julie &amp; Belle - boynextdoor (Main) Jaehyun Sungho Taesan","1781453555393560818","","","in","ssera, nexz  ⬚❤︎","0","0","0","https://x.com/yutieful/status/1781453555393560818","1677465342396841985","yutieful"
"1781453377593127132","Fri Apr 19 22:42:37 +0000 2024","0","le sserafim gausah lagi lah lu anjir","1781453377593127132","","","in","Home","0","1","0","https://x.com/notimportenough/status/1781453377593127132","1264539894170312704","notimportenough"
"1781452960452485316","Fri Apr 19 22:40:58 +0000 2024","1","who s your bias in.. ? (HYBE edition) bts: txt: beomgyu enhypen: seventeen: dk hoshi fromis_9: le sserafim: chaewon sakura kazuha newjeans: hanni &amp;team: boynextdoor: LEEHAN jaehyun riwoo tws: hanjin dohoon shinyu illit: yunah moka","1781452960452485316","","","in","he/they • 21","0","0","0","https://x.com/yaoinextdoor/status/1781452960452485316","1584240947533078528","yaoinextdoor"
"1781375610851619318","Fri Apr 19 17:33:36 +0000 2024","0","Selama 3 hari ini isi fyp tiktok gw tuh orang yang julid sama vocal girlband Le Sserafim di coachella gitu kan. Nah gw jadinya keseringan denger lagu mereka yang Smart itu loh. Dan alhasil ketagihan dengernya anjirrr lagunya asik ","1781375610851619318","","","in","Minor, Homophobic DNI","0","1","0","https://x.com/Kucingmiaaw___/status/1781375610851619318","1507395462873378819","Kucingmiaaw___"
"1781371000325861494","Fri Apr 19 17:15:17 +0000 2024","0","Fearnot yukk join nobar LE SSERAFIM FAN MEETING FEARNADA disini yuu ‍️ Kualitas nobarnya cakepp bgt s! 20k/day 35k/2 days Live + Record Kualitas 1080P","1781371000325861494","","","in","akses bot? cek website:","0","0","0","https://x.com/sbtgirlgroup/status/1781371000325861494","1376541323151302658","sbtgirlgroup"
"1781331931306807459","Fri Apr 19 17:09:33 +0000 2024","0","@tanyarlfes Pernah di Twitter gara2 apa sih lupa sama di Instagram baru kemaren soalnya aku komen kalo sakura le sserafim lebih baik latihannya diperbanyak bukan malah mau part nyanyinya dikit WKWKKW tp banyak juga yang setuju sama komenku itu","1781369559859261683","","tanyarlfes","in","","0","0","0","https://x.com/xxjenniecute/status/1781369559859261683","1429006207851716615","xxjenniecute"
"1781366325706944799","Fri Apr 19 16:56:42 +0000 2024","0","wts lfb le sserafim kazuha antifragile album photocard pc ph sakura chaewon yunjin eunchae ww","1781366325706944799","","","in","20+. MDNI. N/SFW. BNS & STAN.","0","0","0","https://x.com/kkuraberry/status/1781366325706944799","1509197342347436035","kkuraberry"
"1781366247629976046","Fri Apr 19 16:56:24 +0000 2024","0","can extend dop to 2 weeks. wts lfb le sserafim sakura eunchae fearnada md photocard pc ph chaewon yunjin kazuha ww","1781366247629976046","","","in","20+. MDNI. N/SFW. BNS & STAN.","0","0","0","https://x.com/kkuraberry/status/1781366247629976046","1509197342347436035","kkuraberry"
"1781366139194622001","Fri Apr 19 16:55:58 +0000 2024","0","can extend dop to 2 weeks. wts lfb le sserafim kazuha fearnada md day off in jeju photocard pc ph sakura chaewon yunjin eunchae ww","1781366139194622001","","","in","20+. MDNI. N/SFW. BNS & STAN.","0","0","0","https://x.com/kkuraberry/status/1781366139194622001","1509197342347436035","kkuraberry"
"1781365585517085054","Fri Apr 19 16:53:46 +0000 2024","0","wts lfb le sserafim sakura day off in jeju photocard pc ph chaewon yunjin kazuha eunchae ww","1781365585517085054","","","in","20+. MDNI. N/SFW. BNS & STAN.","0","0","0","https://x.com/kkuraberry/status/1781365585517085054","1509197342347436035","kkuraberry"
"1781363367619502376","Fri Apr 19 16:44:57 +0000 2024","0","Tutorial uninstall tiktok = scroll fyp ketemu konten le sserafim buka komen uninstall. Semudah itu gais","1781363367619502376","","","in","","0","0","0","https://x.com/raisinbleus/status/1781363367619502376","1746421424959725568","raisinbleus"
"1781360552255893688","Fri Apr 19 16:33:46 +0000 2024","0","Le sserafim besok kalau mau jelasin makna lagu pelan pelan di eja abcde nya yang betul manti kalau orang orang masih gapaham bikin essay aja","1781360552255893688","","","in","","1","0","0","https://x.com/raisinbleus/status/1781360552255893688","1746421424959725568","raisinbleus"
"1781359794005393590","Fri Apr 19 16:30:46 +0000 2024","0","yoo yeon seok be like: gpp miring yg penting foto sama le sserafim harus flexing wkwkwk","1781359796337377415","","bulbylight","in","ifnt•urichil•fimmies•jebis˚⋆𐚁","0","0","0","https://x.com/bulbylight/status/1781359796337377415","880759530233110529","bulbylight"
"1781359794005393590","Fri Apr 19 16:30:45 +0000 2024","0","bayangin udah benci le sserafim mati2an tapi aktris aktor idol disana demen bgt sm mereka. keinget mama tahun lalu yoo yeon seok girang bener pas ngasih awards ke le sserafim. trs foto ini tetep dia upload dong walaupun miring keknya ga sempet foto lagi jd upload aja yg ada https://t.co/ihBT9X0XNh","1781359794005393590","https://pbs.twimg.com/media/GLipSt9bIAAUdQA.jpg","","in","ifnt•urichil•fimmies•jebis˚⋆𐚁","1","1","0","https://x.com/bulbylight/status/1781359794005393590","880759530233110529","bulbylight"
"1781356747774414992","Fri Apr 19 16:18:39 +0000 2024","3","nakamura kazuha le sserafim kpop fc fancam edit never lose me https://t.co/p923pktcNx","1781356747774414992","https://pbs.twimg.com/ext_tw_video_thumb/1781356641725599750/pu/img/Waw_KrpFiyMrWGUH.jpg","","in","","0","1","0","https://x.com/maywardklaus/status/1781356747774414992","1543306174963015682","maywardklaus"
"1781315335813263523","Fri Apr 19 16:07:03 +0000 2024","8","@deezkidz1 Hidupku gak segabut itu buat nonton terus ngehate nih Coachella kalo bukan karena le sserafim juga gue gak pernah mau nonton juga pliiissss","1781353827972874614","","deezkidz1","in","Rumah Hoseok😹","0","0","0","https://x.com/Jhswifeu_/status/1781353827972874614","1281890278542995462","Jhswifeu_"
"1781347800158273942","Fri Apr 19 15:43:06 +0000 2024","0","Penampilan Kontras LE SSERAFIM dan BABYMONSTER yang Picu Perdebatan https://t.co/gsoxqGTmPF","1781347800158273942","","","in","Indonesia","0","0","1","https://x.com/Popmama_com/status/1781347800158273942","2661838418","Popmama_com"
"1781326616171561299","Fri Apr 19 14:18:55 +0000 2024","0","Lagu Le Sserafim dicover sama I-Land malah jauuh lebih bagus ","1781326616171561299","","","in","📍Tangerang - Bandar Lampung","0","0","0","https://x.com/KikiNovilia/status/1781326616171561299","1093073257169772544","KikiNovilia"
"1781325635253674386","Fri Apr 19 14:15:38 +0000 2024","9","@.nakamurazone","1781325789155279154","","sserapics","in","est 250122!","0","0","1","https://x.com/sserapics/status/1781325789155279154","1285963627061809154","sserapics"
"1781324057306398790","Fri Apr 19 14:12:39 +0000 2024","0","@smilepotatwoo Ya komen2 di ig ya dia msh bayii ","1781325041109721117","","smilepotatwoo","in","Jakarta Selatan, DKI Jakarta","0","1","0","https://x.com/pepepiona/status/1781325041109721117","1739803290383314944","pepepiona"
"1781321822216274299","Fri Apr 19 14:10:56 +0000 2024","0","@shawtside Bukannya dilirik tp malah dijauhin yg ada fav nya ","1781324606206521466","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781324606206521466","1739803290383314944","pepepiona"
